Cluster_Representative;Count;Variations;PerMille
de largeur non sup 3mm et de longueur;160;de largeur non sup 3mm et de longueur (40) | largeur non sup 3mm et de longueur non (40) | de largeur non sup 3mm et de longueur non (40) | de largeur non sup 3mm et de longueur non sup (40);5.26
de longueur;107;de longueur (54) | de longueur non (53);3.52
et de longueur non;106;et de longueur non (53) | et de longueur non sup (53);3.49
fissures de largeur non sup 3mm et de longueur non;103;fissures de largeur non sup 3mm et de longueur non (40) | fissures de largeur non sup 3mm et de longueur non sup (40) | fissures de largeur non sup 3mm et de longueur non sup 100cm (13) | fissures de largeur non sup 3mm et de longueur non sup 30cm (10);3.39
peut tre;94;peut tre (38) | et de (56);3.09
largeur non;90;largeur non (45) | de largeur non (45);2.96
sur env;89;sur env (8) | sur env de (8) | sup 3mm (49) | sup de (15) | car ne (9);2.93
fissures de largeur non sup 3mm et;80;fissures de largeur non sup 3mm et (40) | fissures de largeur non sup 3mm et de (40);2.63
largeur non sup 3mm et de longueur non sup 300cm;74;largeur non sup 3mm et de longueur non sup 300cm (14) | de largeur non sup 3mm et de longueur non sup 300cm (14) | largeur non sup 3mm et de longueur non sup 100cm (13) | de largeur non sup 3mm et de longueur non sup 100cm (13) | largeur non sup 3mm et de longueur non sup 30cm (10) | de largeur non sup 3mm et de longueur non sup 30cm (10);2.43
de surface;71;de surface (37) | de ouvrage (34);2.34
non sup 3mm;70;non sup 3mm (43) | non sup 300cm (17) | non sup 30cm (10);2.3
non sup 3mm et de longueur non sup;67;non sup 3mm et de longueur non sup (42) | non sup 3mm et de longueur non sup 100cm (15) | non sup 3mm et de longueur non sup 30cm (10);2.2
fissures de;66;fissures de (66);2.17
et de longueur non sup 100cm;61;et de longueur non sup 100cm (18) | et de longueur non sup 300cm (17) | 3mm et de longueur non sup 100cm (16) | et de longueur non sup 30cm (10);2.01
clat plusieurs endroits en raison de la forte corrosion;60;clat plusieurs endroits en raison de la forte corrosion (10) | plusieurs endroits en raison de la forte corrosion des (10) | ton clat plusieurs endroits en raison de la forte corrosion (10) | clat plusieurs endroits en raison de la forte corrosion des (10) | ton clat plusieurs endroits en raison de la forte corrosion des (10) | le ton clat plusieurs endroits en raison de la forte corrosion des (10);1.97
3mm et de longueur non sup;58;3mm et de longueur non sup (48) | 3mm et de longueur non sup 30cm (10);1.91
fissures de largeur;54;fissures de largeur (54);1.78
longueur non sup;53;longueur non sup (53);1.74
longueur non sup 100cm;52;longueur non sup 100cm (18) | longueur non sup 300cm (17) | de longueur non sup 300cm (17);1.71
ton clat plusieurs endroits en raison;50;ton clat plusieurs endroits en raison (10) | clat plusieurs endroits en raison de (10) | le ton clat plusieurs endroits en raison (10) | ton clat plusieurs endroits en raison de (10) | ton clat plusieurs endroits en raison de la (10);1.65
toute la;50;toute la (10) | de la (40);1.65
3mm et de;49;3mm et de (49);1.61
3mm et de longueur;49;3mm et de longueur (49);1.61
ouvrage dans le uplan martigny et environ;48;ouvrage dans le uplan martigny et environ (12) | de ouvrage dans le uplan martigny et environ (12) | ouvrage dans le uplan martigny et environ 2020 (12) | de ouvrage dans le uplan martigny et environ 2020 (12);1.58
ouvrage dans le uplan martigny;48;ouvrage dans le uplan martigny (12) | de ouvrage dans le uplan martigny (12) | ouvrage dans le uplan martigny et (12) | de ouvrage dans le uplan martigny et (12);1.58
sup 3mm et;48;sup 3mm et (48);1.58
sup 3mm et de longueur non;48;sup 3mm et de longueur non (48);1.58
fissures de largeur non sup;45;fissures de largeur non sup (45);1.48
de largeur non sup;45;de largeur non sup (45);1.48
ces constatations disponibles car ne sont;45;ces constatations disponibles car ne sont (9) | constatations disponibles car ne sont pas (9) | des ces constatations disponibles car ne sont (9) | ces constatations disponibles car ne sont pas (9) | des ces constatations disponibles car ne sont pas (9);1.48
non sup 3mm et de;42;non sup 3mm et de (42);1.38
non sup 3mm et de longueur;42;non sup 3mm et de longueur (42);1.38
sup 3mm et de longueur non sup 300cm;41;sup 3mm et de longueur non sup 300cm (15) | sup 3mm et de longueur non sup 100cm (16) | sup 3mm et de longueur non sup 30cm (10);1.35
de largeur non sup 3mm et;40;de largeur non sup 3mm et (40);1.32
application une protection de surface;40;application une protection de surface (18) | application une protection de surface sur env (8) | et application une protection de surface (7) | et application une protection de surface sur (7);1.32
largeur non sup 3mm;40;largeur non sup 3mm (40);1.32
largeur non sup 3mm et de;40;largeur non sup 3mm et de (40);1.32
uplan martigny et environ;36;uplan martigny et environ (12) | le uplan martigny et environ (12) | uplan martigny et environ 2020 (12);1.18
constatation peut;36;constatation peut (36);1.18
ragr ages localis;35;ragr ages localis (35);1.15
ages localis;35;ages localis (35);1.15
ragr ages;35;ragr ages (35);1.15
cette constatation;35;cette constatation (35);1.15
tre supprim;33;tre supprim (33);1.09
migr dans;33;migr dans (33);1.09
peut tre supprim;32;peut tre supprim (32);1.05
constatation peut tre supprim;31;constatation peut tre supprim (31);1.02
clat plusieurs endroits en raison de la;30;clat plusieurs endroits en raison de la (10) | clat plusieurs endroits en raison de la forte (10) | le ton clat plusieurs endroits en raison de la (10);0.99
le ton clat plusieurs endroits;30;le ton clat plusieurs endroits (10) | ton clat plusieurs endroits en (10) | le ton clat plusieurs endroits en (10);0.99
plusieurs endroits en raison de la forte corrosion des armatures;30;plusieurs endroits en raison de la forte corrosion des armatures (10) | ton clat plusieurs endroits en raison de la forte corrosion des armatures (10) | le ton clat plusieurs endroits en raison de la forte corrosion des armatures (10);0.99
cette constatation peut;29;cette constatation peut (29);0.95
sup 100cm;28;sup 100cm (18) | sup 30cm (10);0.92
dans le;28;dans le (19) | des ces (9);0.92
aucune photo des ces constatations disponibles car ne sont;27;aucune photo des ces constatations disponibles car ne sont (9) | photo des ces constatations disponibles car ne sont pas (9) | aucune photo des ces constatations disponibles car ne sont pas (9);0.89
assainissement de ouvrage dans le uplan martigny;24;assainissement de ouvrage dans le uplan martigny (12) | assainissement de ouvrage dans le uplan martigny et (12);0.79
assainissement de ouvrage dans;24;assainissement de ouvrage dans (12) | assainissement de ouvrage dans le (12);0.79
de ouvrage dans;24;de ouvrage dans (12) | de ouvrage dans le (12);0.79
assainissement de ouvrage dans le uplan martigny et environ;24;assainissement de ouvrage dans le uplan martigny et environ (12) | assainissement de ouvrage dans le uplan martigny et environ 2020 (12);0.79
le uplan martigny;24;le uplan martigny (12) | le uplan martigny et (12);0.79
dans le uplan martigny;24;dans le uplan martigny (12) | dans le uplan martigny et (12);0.79
joint de;24;joint de (10) | lors de (14);0.79
dans le uplan martigny et environ;24;dans le uplan martigny et environ (12) | dans le uplan martigny et environ 2020 (12);0.79
ouvrage dans le uplan;24;ouvrage dans le uplan (12) | de ouvrage dans le uplan (12);0.79
protection de;23;protection de (23);0.76
depuis la;23;depuis la (23);0.76
dans caisson;22;dans caisson (22);0.72
protection de surface;22;protection de surface (22);0.72
eau depuis la partie sup de ouvrage surface fortement;21;eau depuis la partie sup de ouvrage surface fortement (7) | depuis la partie sup de ouvrage surface fortement alt (7) | eau depuis la partie sup de ouvrage surface fortement alt (7);0.69
le ton;21;le ton (14) | le mur (7);0.69
migr dans caisson;21;migr dans caisson (21);0.69
la partie sup de ouvrage surface fortement;21;la partie sup de ouvrage surface fortement (7) | partie sup de ouvrage surface fortement alt (7) | la partie sup de ouvrage surface fortement alt (7);0.69
du joint;21;du joint (14) | du ton (7);0.69
forte corrosion des armatures;20;forte corrosion des armatures (10) | de la forte corrosion des armatures (10);0.66
plusieurs endroits en raison;20;plusieurs endroits en raison (10) | plusieurs endroits en raison de la (10);0.66
sont pas;20;sont pas (10) | ne sont pas (10);0.66
rieures mm;20;rieures mm (20);0.66
une protection;19;une protection (19);0.63
application une protection;19;application une protection (19);0.63
application une;19;application une (19);0.63
inf rieures;18;inf rieures (18);0.59
ces constatations disponibles car;18;ces constatations disponibles car (9) | ces constatations disponibles car ne (9);0.59
photo des ces constatations disponibles car;18;photo des ces constatations disponibles car (9) | photo des ces constatations disponibles car ne (9);0.59
aucune photo des ces constatations disponibles;18;aucune photo des ces constatations disponibles (9) | aucune photo des ces constatations disponibles car ne (9);0.59
fortement alt;18;fortement alt (18);0.59
des ces constatations disponibles;18;des ces constatations disponibles (9) | des ces constatations disponibles car ne (9);0.59
ces constatations disponibles car ne sont pas visibles;18;ces constatations disponibles car ne sont pas visibles (9) | des ces constatations disponibles car ne sont pas visibles (9);0.59
surface fortement;18;surface fortement (18);0.59
taches de;18;taches de (11) | pas de (7);0.59
la partie;17;la partie (17);0.56
venue eau;17;venue eau (17);0.56
fissures inf rieures;16;fissures inf rieures (16);0.53
une protection de surface sur env de;16;une protection de surface sur env de (8) | une protection de surface sur env de hauteur (8);0.53
suspicion de;16;suspicion de (16);0.53
betr gt;16;betr gt (16);0.53
non migr;16;non migr (16);0.53
partie sup de ouvrage;15;partie sup de ouvrage (15);0.49
partie sup;15;partie sup (15);0.49
depuis la partie sup de;15;depuis la partie sup de (15);0.49
sup de ouvrage;15;sup de ouvrage (15);0.49
depuis la partie;15;depuis la partie (15);0.49
la partie sup de;15;la partie sup de (15);0.49
la bordure;15;la bordure (15);0.49
venue eau depuis la partie sup de ouvrage surface;14;venue eau depuis la partie sup de ouvrage surface (7) | venue eau depuis la partie sup de ouvrage surface fortement (7);0.46
une protection de surface sur;14;une protection de surface sur (14);0.46
eau depuis;14;eau depuis (14);0.46
surface sur;14;surface sur (14);0.46
de rouille;13;de rouille (13);0.43
au niveau;13;au niveau (13);0.43
venue eau depuis;13;venue eau depuis (13);0.43
uplan martigny et;12;uplan martigny et (12);0.39
et environ 2020;12;et environ 2020 (12);0.39
martigny et environ;12;martigny et environ (12);0.39
aucune photo;12;aucune photo (12);0.39
martigny et environ 2020;12;martigny et environ 2020 (12);0.39
ouvrage dans le;12;ouvrage dans le (12);0.39
venue eau depuis la partie;12;venue eau depuis la partie (12);0.39
niveau de;12;niveau de (12);0.39
assainissement de ouvrage dans le uplan;12;assainissement de ouvrage dans le uplan (12);0.39
eau depuis la partie sup de ouvrage;12;eau depuis la partie sup de ouvrage (12);0.39
de hauteur;12;de hauteur (12);0.39
eau depuis la partie sup;12;eau depuis la partie sup (12);0.39
tanch it;12;tanch it (12);0.39
venue eau depuis la partie sup de;12;venue eau depuis la partie sup de (12);0.39
le uplan martigny et environ 2020;12;le uplan martigny et environ 2020 (12);0.39
efflorescences en;11;efflorescences en (11);0.36
taches de rouille;11;taches de rouille (11);0.36
forte corrosion;11;forte corrosion (11);0.36
en raison;11;en raison (11);0.36
uplan 2020;11;uplan 2020 (11);0.36
rissl nge;11;rissl nge (11);0.36
de retrait;11;de retrait (11);0.36
efflorescences en surface;11;efflorescences en surface (11);0.36
en raison de la;10;en raison de la (10);0.33
la forte corrosion des;10;la forte corrosion des (10);0.33
raison de;10;raison de (10);0.33
endroits en raison;10;endroits en raison (10);0.33
le ton clat plusieurs;10;le ton clat plusieurs (10);0.33
le ton clat plusieurs endroits en raison de la forte;10;le ton clat plusieurs endroits en raison de la forte (10);0.33
de la forte;10;de la forte (10);0.33
de uplan;10;de uplan (10);0.33
de la forte corrosion;10;de la forte corrosion (10);0.33
raison de la forte;10;raison de la forte (10);0.33
photo des;10;photo des (10);0.33
clat plusieurs;10;clat plusieurs (10);0.33
ton clat;10;ton clat (10);0.33
de longueur non sup 30cm;10;de longueur non sup 30cm (10);0.33
syst me;10;syst me (10);0.33
bis zu;10;bis zu (10);0.33
sur toute;10;sur toute (10);0.33
clat plusieurs endroits;10;clat plusieurs endroits (10);0.33
en raison de la forte corrosion des armatures;10;en raison de la forte corrosion des armatures (10);0.33
endroits en raison de la;10;endroits en raison de la (10);0.33
endroits en raison de la forte corrosion des;10;endroits en raison de la forte corrosion des (10);0.33
en raison de la forte corrosion des;10;en raison de la forte corrosion des (10);0.33
raison de la forte corrosion;10;raison de la forte corrosion (10);0.33
corrosion des;10;corrosion des (10);0.33
des armatures;10;des armatures (10);0.33
endroits en;10;endroits en (10);0.33
plusieurs endroits;10;plusieurs endroits (10);0.33
disponibles car;9;disponibles car (9);0.3
aar typisches;9;aar typisches (9);0.3
de chauss;9;de chauss (9);0.3
joint de chauss;9;joint de chauss (9);0.3
la bordure refaite lors de;9;la bordure refaite lors de (9);0.3
la bordure refaite lors de uplan 2020;9;la bordure refaite lors de uplan 2020 (9);0.3
lors de uplan 2020;9;lors de uplan 2020 (9);0.3
bordure refaite lors;9;bordure refaite lors (9);0.3
bordure refaite lors de uplan;9;bordure refaite lors de uplan (9);0.3
bordure refaite;9;bordure refaite (9);0.3
lors de uplan;9;lors de uplan (9);0.3
typisches rissbild;9;typisches rissbild (9);0.3
aucune photo des ces constatations;9;aucune photo des ces constatations (9);0.3
disponibles car ne sont;9;disponibles car ne sont (9);0.3
car ne sont pas visibles;9;car ne sont pas visibles (9);0.3
car ne sont;9;car ne sont (9);0.3
constatations disponibles car ne;9;constatations disponibles car ne (9);0.3
aucune photo des ces;9;aucune photo des ces (9);0.3
mit einem;9;mit einem (9);0.3
aucune photo des ces constatations disponibles car ne sont pas visibles;9;aucune photo des ces constatations disponibles car ne sont pas visibles (9);0.3
refaite lors de uplan;9;refaite lors de uplan (9);0.3
constatations disponibles;9;constatations disponibles (9);0.3
des ces constatations;9;des ces constatations (9);0.3
pas visibles;9;pas visibles (9);0.3
refaite lors;9;refaite lors (9);0.3
sont pas visibles;9;sont pas visibles (9);0.3
photo des ces constatations;9;photo des ces constatations (9);0.3
corrosion armatures;8;corrosion armatures (8);0.26
surface sur env de hauteur;8;surface sur env de hauteur (8);0.26
protection de surface sur env;8;protection de surface sur env (8);0.26
surface sur env de;8;surface sur env de (8);0.26
application une protection de surface sur env de;8;application une protection de surface sur env de (8);0.26
sur env de hauteur;8;sur env de hauteur (8);0.26
de surface sur env;8;de surface sur env (8);0.26
rissbreite bis mm;8;rissbreite bis mm (8);0.26
et application;8;et application (8);0.26
risse mit einem aar typisches rissbild;8;risse mit einem aar typisches rissbild (8);0.26
einem aar typisches rissbild;8;einem aar typisches rissbild (8);0.26
risse mit einem aar typisches;8;risse mit einem aar typisches (8);0.26
einem aar typisches;8;einem aar typisches (8);0.26
nge betr;8;nge betr (8);0.26
und rissbreite;8;und rissbreite (8);0.26
risse mit einem;8;risse mit einem (8);0.26
gt bis;8;gt bis (8);0.26
einem aar;8;einem aar (8);0.26
und rissbreite betr gt;8;und rissbreite betr gt (8);0.26
rissbreite betr;8;rissbreite betr (8);0.26
rissl nge betr;8;rissl nge betr (8);0.26
dans entretoise;8;dans entretoise (8);0.26
migr dans entretoise;8;migr dans entretoise (8);0.26
localis et;7;localis et (7);0.23
et application une protection de;7;et application une protection de (7);0.23
sup de ouvrage surface;7;sup de ouvrage surface (7);0.23
ouvrage surface fortement;7;ouvrage surface fortement (7);0.23
ouvrage surface;7;ouvrage surface (7);0.23
ex cution;7;ex cution (7);0.23
jusqu mm;7;jusqu mm (7);0.23
largeur vraisemblablement;7;largeur vraisemblablement (7);0.23
fissures de largeur vraisemblablement;7;fissures de largeur vraisemblablement (7);0.23
fection des joints;7;fection des joints (7);0.23
fection des;7;fection des (7);0.23
de ouvrage surface fortement alt;7;de ouvrage surface fortement alt (7);0.23
sup de ouvrage surface fortement;7;sup de ouvrage surface fortement (7);0.23
partie sup de ouvrage surface;7;partie sup de ouvrage surface (7);0.23
depuis la partie sup de ouvrage surface;7;depuis la partie sup de ouvrage surface (7);0.23
verdacht auf;7;verdacht auf (7);0.23
visible depuis;7;visible depuis (7);0.23
lteren datums;7;lteren datums (7);0.23
